Sex,MEM1,MEM2,MEM3,MEM4,MEM5,MEM6,ATTNPER1,ATTNPER2,ATTNPER3,ATTNPER4,ATTNPER5,SOC1,SOC2,SOC3,SOC4,SOC5,SOC6,FAC1,FAC2,FAC3,FAC4,FAC5,FAC6,FAC7
Female,3,5,3,1,1,4,3,1,2,3,5,5,1,1,4,2,1,5,1,4,2,1,2,5
Male,3,4,4,4,4,4,4,3,4,2,3,4,4,4,3,1,1,5,3,3,4,3,4,4
Male,3,4,4,2,3,4,5,2,4,2,4,4,3,4,5,2,2,4,3,4,3,4,4,4
Male,2,4,3,1,3,4,2,3,3,3,4,4,4,4,3,2,4,4,3,2,3,3,4,4
Male,3,5,5,5,4,4,3,5,5,2,5,5,3,3,4,4,2,2,4,5,3,2,2,5
Female,3,4,3,3,3,5,5,4,4,2,5,3,5,4,5,2,3,5,2,3,3,1,3,5
Male,5,1,1,5,1,5,1,1,1,5,1,1,1,1,3,1,1,5,1,1,1,1,5,1
Male,5,3,3,3,5,4,3,3,5,4,4,5,4,4,4,4,3,3,2,3,3,2,4,5
Male,2,5,3,2,4,1,5,4,5,1,5,5,3,3,4,1,2,5,1,3,2,1,4,5
Male,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Female,2,5,3,3,3,4,4,4,4,3,4,4,3,2,2,3,3,4,4,4,3,2,4,4
Male,2,3,3,4,3,4,5,4,5,5,5,5,4,3,3,4,3,4,2,3,3,4,4,5
Male,2,4,3,3,3,4,5,4,5,2,5,3,3,2,5,1,2,3,2,2,4,1,3,4
Male,2,4,4,4,4,2,5,3,5,3,3,5,3,4,4,3,3,5,3,5,4,1,3,5
Male,3,4,5,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Male,2,2,1,1,1,5,5,1,5,2,4,5,3,3,4,4,1,5,1,3,5,2,3,5
Female,2,4,4,4,4,1,2,2,3,1,4,1,1,1,4,3,1,4,1,5,1,2,3,5
Male,3,4,4,5,4,4,4,4,4,5,4,4,4,4,2,1,5,4,1,4,3,3,3,5
Male,3,5,2,3,4,4,4,3,5,3,5,4,3,3,2,3,3,4,5,4,3,1,3,5
Male,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Male,3,4,4,4,4,4,5,3,5,3,5,4,3,3,4,3,3,4,3,2,2,2,2,5
Male,2,5,2,4,4,4,5,4,5,4,5,4,4,4,5,4,3,4,1,4,3,3,3,5
Male,3,5,5,5,4,4,3,5,5,2,5,5,3,3,4,4,2,2,4,5,3,2,2,5
